AgeGroup,Gender,CityTier,Occupation,PlayFrequency,PlayingLevel,PlayLocation,Motivation_1,Motivation_2,RacketsOwned,PrimaryBrand,StringChangeFreq,Factor_1,Factor_2,LastPurchase,PurchaseChannel,Item_1,Item_2,PlayerType,BrandImportance,WillingToPayPremium,UsesFitnessApps,InterestInTracking,InterestInRecommendations,MonthlySpend,TooExpensivePrice,ScenarioResponse,InterestLevel,InterestBinary,EngagementScore,SeriousnessIndex,SpendingScore
18-24,Female,Tier 1,Student,1-2/week,Competitive,Society/club,Stress relief,,1,Yonex,Monthly,Price,Brand,>6 months,Brand store,Grips,Strings,Competitive player,Somewhat important,Maybe,Yes,Yes,Yes,500-1500,2000-5000,Buy branded,Likely,1,7,11,4
25-34,Female,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Socializing,,2,Yonex,Rarely,Performance,Brand,>6 months,Offline store,Grips,Shuttlecocks,Casual player,Not important,No,No,Maybe,No,500-1500,<2000,Skip,Neutral,0,3,4,4
18-24,Male,Tier 2,Student,1-2/week,Beginner,Society/club,Fitness,,1,Decathlon,Rarely,Performance,Recommendation,3-6 months,Offline store,Shuttlecocks,,Casual player,Very important,Yes,Yes,No,Maybe,0-500,<2000,Skip,Neutral,0,4,5,3
25-34,Female,Tier 2,Working Professional,1-2/week,Intermediate,Indoor courts,Stress relief,Socializing,2,Yonex,Monthly,Brand,Price,3-6 months,Online,Grips,,Aspiring professional,Very important,Yes,Yes,Yes,No,1500-3000,2000-5000,Buy immediately,Likely,1,5,7,7
18-24,Female,Tier 1,Working Professional,1-2/week,Competitive,Indoor courts,Stress relief,Competition,3+,Yonex,Monthly,Performance,Recommendation,3-6 months,Brand store,Grips,Shuttlecocks,Competitive player,Somewhat important,No,No,No,Yes,1500-3000,<2000,Buy branded,Neutral,0,7,11,6
25-34,Female,Tier 1,Business Owner,Rarely,Beginner,Society/club,Fitness,,1,Others,2-3 months,Price,Performance,1-3 months,Offline store,Strings,Grips,Fitness-focused,Somewhat important,Maybe,No,Maybe,Yes,0-500,<2000,Borrow,Likely,1,2,3,2
45+,Male,Tier 3,Working Professional,Occasionally,Intermediate,Society/club,Socializing,Fitness,2,Yonex,Monthly,Performance,Price,<1 month,Offline store,Apparel,,Fitness-focused,Very important,Maybe,No,Yes,Maybe,500-1500,<2000,Buy immediately,Neutral,0,4,6,5
25-34,Female,Tier 1,Others,3-5/week,Intermediate,Indoor courts,Competition,Socializing,2,Yonex,Monthly,Price,Recommendation,<1 month,Brand store,Strings,,Competitive player,Not important,No,No,Yes,Yes,500-1500,<2000,Buy immediately,Likely,1,6,8,4
18-24,Female,Tier 2,Student,Rarely,Beginner,Indoor courts,Stress relief,,2,Li-Ning,Rarely,Performance,Price,>6 months,Brand store,Apparel,Grips,Casual player,Somewhat important,No,Yes,Yes,No,1500-3000,<2000,Borrow,Neutral,0,2,3,6
Under 18,Male,Tier 2,Student,3-5/week,Advanced,Society/club,Competition,Stress relief,1,Yonex,2-3 months,Price,Brand,<1 month,Online,Shuttlecocks,,Competitive player,Very important,Yes,Yes,Yes,Yes,500-1500,2000-5000,Buy branded,Very likely,1,7,10,5
18-24,Female,Tier 2,Working Professional,1-2/week,Competitive,Society/club,Fitness,Stress relief,2,Yonex,Rarely,Price,,<1 month,Offline store,Grips,,Competitive player,Very important,Yes,No,Maybe,Yes,3000+,2000-5000,Buy immediately,Very likely,1,7,11,9
25-34,Male,Tier 3,Working Professional,3-5/week,Advanced,Society/club,Fitness,Socializing,3+,Li-Ning,Monthly,Price,Recommendation,<1 month,Brand store,Shuttlecocks,Strings,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,1500-3000,5000-10000,Buy branded,Very likely,1,7,10,6
Under 18,Male,Tier 2,Student,Occasionally,Advanced,Outdoor,Socializing,Fitness,2,Yonex,Monthly,Brand,Price,<1 month,Online,Strings,,Competitive player,Very important,Maybe,No,Maybe,Yes,500-1500,5000-10000,Buy immediately,Very likely,1,5,8,5
18-24,Male,Tier 2,Student,3-5/week,Competitive,Indoor courts,Stress relief,Socializing,3+,Yonex,Monthly,Brand,Price,3-6 months,Online,Strings,,Competitive player,Very important,Yes,Yes,Yes,Yes,1500-3000,2000-5000,Buy immediately,Very likely,1,8,12,7
25-34,Male,Tier 2,Working Professional,3-5/week,Competitive,Society/club,Stress relief,Fitness,1,Yonex,Monthly,Performance,Brand,<1 month,Offline store,Grips,Shuttlecocks,Aspiring professional,Very important,Maybe,Yes,Yes,Maybe,1500-3000,2000-5000,Buy branded,Very likely,1,8,12,7
18-24,Male,Tier 2,Working Professional,Rarely,Beginner,Society/club,Stress relief,Fitness,1,Yonex,Rarely,Performance,Brand,>6 months,Brand store,Shoes,Shuttlecocks,Casual player,Not important,No,No,Yes,Yes,0-500,<2000,Buy branded,Very likely,1,2,3,2
35-44,Male,Tier 2,Business Owner,Occasionally,Beginner,Outdoor,Fitness,Competition,1,Yonex,2-3 months,Performance,Brand,1-3 months,Brand store,Shuttlecocks,,Casual player,Somewhat important,Yes,No,Maybe,Yes,1500-3000,<2000,Buy immediately,Neutral,0,3,4,6
Under 18,Female,Tier 3,Others,3-5/week,Intermediate,Society/club,Socializing,Competition,2,Yonex,Rarely,Price,Performance,<1 month,Online,Shuttlecocks,Strings,Fitness-focused,Very important,Maybe,Yes,Yes,Yes,500-1500,5000-10000,Borrow,Very likely,1,6,8,5
Under 18,Male,Tier 1,Student,Occasionally,Competitive,Indoor courts,Socializing,Competition,1,Yonex,2-3 months,Price,Performance,1-3 months,Brand store,Grips,,Competitive player,Somewhat important,Maybe,No,Maybe,Maybe,1500-3000,2000-5000,Buy immediately,Likely,1,6,10,6
25-34,Male,Tier 1,Working Professional,Rarely,Advanced,Indoor courts,Stress relief,Fitness,2,Li-Ning,2-3 months,Performance,,<1 month,Offline store,Grips,Apparel,Competitive player,Very important,No,Yes,Maybe,Yes,0-500,<2000,Buy immediately,Likely,1,4,7,3
18-24,Male,Tier 1,Student,Daily,Intermediate,Indoor courts,Fitness,Socializing,1,Yonex,Rarely,Performance,Price,1-3 months,Online,Shuttlecocks,Shoes,Competitive player,Very important,Yes,Yes,Yes,No,500-1500,2000-5000,Buy branded,Very likely,1,7,9,5
25-34,Male,Tier 1,Others,Occasionally,Beginner,Indoor courts,Competition,,1,Decathlon,Never,Price,Performance,3-6 months,Brand store,Strings,Grips,Casual player,Somewhat important,No,No,Maybe,Maybe,0-500,2000-5000,Skip,Likely,1,3,4,2
18-24,Female,Tier 1,Student,1-2/week,Intermediate,Indoor courts,Fitness,,2,Yonex,2-3 months,Performance,Price,1-3 months,Brand store,Strings,Grips,Casual player,Very important,Maybe,Yes,Maybe,Maybe,3000+,2000-5000,Buy branded,Very likely,1,5,7,9
18-24,Female,Tier 3,Working Professional,Occasionally,Competitive,Society/club,Competition,Fitness,2,Li-Ning,2-3 months,Performance,Brand,<1 month,Offline store,Shuttlecocks,Grips,Competitive player,Somewhat important,Maybe,No,No,Yes,3000+,5000-10000,Skip,Likely,1,6,10,8
35-44,Female,Tier 2,Working Professional,1-2/week,Intermediate,Outdoor,Fitness,Stress relief,1,Decathlon,2-3 months,Brand,Recommendation,1-3 months,Offline store,Shuttlecocks,Apparel,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,500-1500,<2000,Buy branded,Neutral,0,5,7,4
35-44,Male,Tier 2,Working Professional,Occasionally,Intermediate,Indoor courts,Fitness,Competition,1,Li-Ning,2-3 months,Performance,Recommendation,>6 months,Offline store,Shoes,Grips,Competitive player,Somewhat important,Maybe,No,No,Yes,500-1500,2000-5000,Borrow,Neutral,0,4,6,4
25-34,Male,Tier 2,Working Professional,Daily,Competitive,Outdoor,Socializing,Fitness,3+,Yonex,Monthly,Performance,Recommendation,<1 month,Online,Grips,Shoes,Competitive player,Very important,Maybe,No,Maybe,Yes,1500-3000,2000-5000,Buy branded,Very likely,1,9,13,7
18-24,Male,Tier 3,Others,Occasionally,Beginner,Outdoor,Competition,Stress relief,1,Li-Ning,Rarely,Brand,Price,3-6 months,Offline store,Shuttlecocks,,Fitness-focused,Not important,No,No,Yes,No,500-1500,5000-10000,Skip,Neutral,0,3,4,4
25-34,Male,Tier 2,Working Professional,Daily,Intermediate,Outdoor,Fitness,Competition,2,Decathlon,Monthly,Brand,,<1 month,Brand store,Shuttlecocks,Shoes,Casual player,Not important,No,No,Yes,Yes,500-1500,5000-10000,Buy immediately,Unlikely,0,7,9,4
18-24,Male,Tier 3,Working Professional,1-2/week,Intermediate,Outdoor,Competition,Stress relief,1,Yonex,Rarely,Price,,3-6 months,Online,Shuttlecocks,,Casual player,Not important,No,No,Yes,Maybe,1500-3000,2000-5000,Buy immediately,Very likely,1,5,7,6
Under 18,Female,Tier 1,Student,3-5/week,Intermediate,Society/club,Socializing,Fitness,1,Yonex,2-3 months,Recommendation,Brand,<1 month,Brand store,Shuttlecocks,Apparel,Casual player,Somewhat important,Yes,No,Yes,No,500-1500,2000-5000,Buy branded,Likely,1,6,8,4
45+,Male,Tier 3,Business Owner,Occasionally,Competitive,Outdoor,Competition,Stress relief,3+,Decathlon,Monthly,Recommendation,Brand,>6 months,Offline store,Shuttlecocks,Grips,Competitive player,Somewhat important,Maybe,Yes,Yes,Maybe,1500-3000,<2000,Skip,Likely,1,6,10,6
Under 18,Female,Tier 2,Student,1-2/week,Beginner,Society/club,Socializing,,2,Decathlon,Rarely,Price,,3-6 months,Online,Shuttlecocks,Strings,Casual player,Not important,Maybe,No,Maybe,Maybe,1500-3000,2000-5000,Borrow,Likely,1,4,5,6
45+,Male,Tier 1,Business Owner,1-2/week,Beginner,Indoor courts,Fitness,Competition,1,Decathlon,Never,Performance,,<1 month,Online,Shuttlecocks,,Casual player,Somewhat important,Yes,No,Yes,Yes,0-500,<2000,Skip,Likely,1,4,5,2
18-24,Male,Tier 2,Working Professional,1-2/week,Beginner,Outdoor,Fitness,Socializing,1,Yonex,Rarely,Performance,Brand,1-3 months,Offline store,Apparel,Shuttlecocks,Casual player,Very important,Maybe,Yes,Yes,Maybe,1500-3000,5000-10000,Skip,Likely,1,4,5,7
18-24,Male,Tier 2,Student,Occasionally,Beginner,Society/club,Competition,,1,Li-Ning,Rarely,Price,Brand,3-6 months,Offline store,Strings,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,0-500,<2000,Skip,Neutral,0,3,4,2
25-34,Male,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Fitness,Stress relief,3+,Li-Ning,2-3 months,Performance,Price,1-3 months,Online,Shoes,Shuttlecocks,Casual player,Not important,No,Yes,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Likely,1,5,7,6
35-44,Female,Tier 2,Working Professional,Occasionally,Beginner,Outdoor,Socializing,,2,Decathlon,Rarely,Performance,,3-6 months,Offline store,Strings,,Fitness-focused,Somewhat important,Maybe,No,Yes,Maybe,0-500,<2000,Borrow,Unlikely,0,3,4,2
25-34,Male,Tier 1,Working Professional,Daily,Competitive,Society/club,Stress relief,Fitness,2,Yonex,2-3 months,Performance,Brand,<1 month,Offline store,Shuttlecocks,Apparel,Aspiring professional,Very important,Maybe,Yes,Yes,Yes,1500-3000,2000-5000,Buy immediately,Likely,1,9,13,7
35-44,Male,Tier 1,Others,3-5/week,Intermediate,Society/club,Competition,Fitness,3+,Li-Ning,Rarely,Recommendation,,3-6 months,Brand store,Shuttlecocks,Shoes,Competitive player,Not important,No,No,Yes,Yes,1500-3000,5000-10000,Buy immediately,Very likely,1,6,8,6
25-34,Female,Tier 3,Working Professional,1-2/week,Beginner,Indoor courts,Competition,,3+,Decathlon,Never,Price,,1-3 months,Online,Grips,Strings,Fitness-focused,Somewhat important,No,No,No,Maybe,500-1500,<2000,Skip,Unlikely,0,4,5,4
25-34,Male,Tier 2,Working Professional,Rarely,Beginner,Society/club,Competition,,1,Li-Ning,Monthly,Recommendation,,<1 month,Offline store,Shuttlecocks,Apparel,Casual player,Very important,Maybe,Yes,No,No,0-500,10000+,Skip,Neutral,0,2,3,3
35-44,Male,Tier 3,Working Professional,Daily,Competitive,Society/club,Competition,Stress relief,2,Li-Ning,Monthly,Recommendation,,>6 months,Online,Shoes,,Competitive player,Somewhat important,Maybe,Yes,No,No,3000+,5000-10000,Buy branded,Neutral,0,9,13,8
18-24,Male,Tier 2,Student,Daily,Advanced,Outdoor,Fitness,Socializing,3+,Yonex,Never,Price,,1-3 months,Online,Grips,Shoes,Aspiring professional,Somewhat important,No,Yes,Yes,Maybe,1500-3000,5000-10000,Buy branded,Neutral,0,8,11,6
18-24,Male,Tier 1,Student,3-5/week,Intermediate,Indoor courts,Fitness,Competition,1,Li-Ning,2-3 months,Performance,Price,1-3 months,Online,Grips,Strings,Casual player,Somewhat important,Yes,No,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,6,8,8
18-24,Female,Tier 2,Student,1-2/week,Intermediate,Outdoor,Fitness,,2,Yonex,2-3 months,Price,Brand,3-6 months,Online,Shuttlecocks,Strings,Fitness-focused,Very important,Yes,Yes,Maybe,Maybe,3000+,10000+,Buy immediately,Very likely,1,5,7,9
45+,Female,Tier 2,Working Professional,1-2/week,Advanced,Indoor courts,Competition,,2,Li-Ning,2-3 months,Price,Performance,1-3 months,Online,Shuttlecocks,Grips,Competitive player,Very important,Yes,No,Maybe,Yes,1500-3000,2000-5000,Borrow,Very likely,1,6,9,7
45+,Female,Tier 3,Working Professional,Occasionally,Beginner,Indoor courts,Socializing,Stress relief,1,Yonex,Rarely,Recommendation,Performance,3-6 months,Online,Strings,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,No,Yes,0-500,2000-5000,Buy branded,Likely,1,3,4,2
Under 18,Male,Tier 1,Others,Daily,Competitive,Indoor courts,Stress relief,Fitness,3+,Decathlon,Monthly,Performance,Brand,3-6 months,Online,Apparel,Strings,Competitive player,Somewhat important,Maybe,Yes,Yes,Yes,1500-3000,5000-10000,Buy branded,Very likely,1,9,13,6
25-34,Male,Tier 3,Working Professional,3-5/week,Advanced,Society/club,Competition,,3+,Yonex,Monthly,Price,Brand,<1 month,Offline store,Apparel,Strings,Fitness-focused,Very important,Yes,Yes,Maybe,No,1500-3000,5000-10000,Buy branded,Unlikely,0,7,10,7
45+,Female,Tier 3,Business Owner,1-2/week,Intermediate,Outdoor,Fitness,,1,Li-Ning,Monthly,Performance,Price,<1 month,Offline store,Shuttlecocks,,Fitness-focused,Somewhat important,Yes,Yes,Maybe,Yes,0-500,2000-5000,Buy branded,Very likely,1,5,7,2
18-24,Male,Tier 2,Others,1-2/week,Beginner,Indoor courts,Stress relief,,2,Others,Never,Recommendation,Price,1-3 months,Online,Grips,,Casual player,Not important,No,Yes,Yes,Maybe,0-500,<2000,Skip,Neutral,0,4,5,2
25-34,Male,Tier 3,Business Owner,Occasionally,Advanced,Society/club,Competition,,2,Yonex,Monthly,Price,Brand,>6 months,Online,Strings,,Competitive player,Somewhat important,Maybe,Yes,Yes,Maybe,1500-3000,<2000,Buy branded,Likely,1,5,8,6
45+,Male,Tier 1,Others,3-5/week,Advanced,Indoor courts,Socializing,,2,Yonex,Monthly,Brand,Price,<1 month,Online,Strings,Shuttlecocks,Fitness-focused,Very important,Yes,No,No,Maybe,1500-3000,2000-5000,Buy branded,Likely,1,7,10,7
Under 18,Male,Tier 3,Others,Rarely,Beginner,Outdoor,Fitness,Stress relief,1,Li-Ning,Never,Performance,Price,>6 months,Offline store,Grips,Strings,Casual player,Very important,No,Yes,Yes,Yes,500-1500,<2000,Borrow,Likely,1,2,3,5
25-34,Male,Tier 2,Working Professional,1-2/week,Beginner,Indoor courts,Socializing,Stress relief,1,Others,Never,Performance,,1-3 months,Brand store,Shoes,Shuttlecocks,Competitive player,Very important,Maybe,Yes,Yes,Maybe,0-500,2000-5000,Borrow,Likely,1,4,5,3
18-24,Female,Tier 1,Working Professional,Occasionally,Intermediate,Indoor courts,Socializing,Fitness,2,Decathlon,Rarely,Brand,,>6 months,Offline store,Shuttlecocks,Apparel,Casual player,Very important,Maybe,No,No,No,500-1500,<2000,Buy immediately,Unlikely,0,4,6,5
45+,Female,Tier 3,Working Professional,1-2/week,Intermediate,Outdoor,Fitness,Socializing,3+,Decathlon,Rarely,Price,,1-3 months,Online,Grips,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,Maybe,Yes,500-1500,2000-5000,Skip,Very likely,1,5,7,4
45+,Male,Tier 2,Working Professional,3-5/week,Intermediate,Outdoor,Competition,,2,Yonex,2-3 months,Performance,Price,1-3 months,Online,Shoes,Apparel,Competitive player,Somewhat important,Maybe,Yes,Yes,Yes,500-1500,<2000,Buy immediately,Very likely,1,6,8,4
45+,Male,Tier 2,Others,Occasionally,Beginner,Outdoor,Socializing,Fitness,1,Yonex,Never,Brand,Performance,1-3 months,Online,Grips,Apparel,Fitness-focused,Not important,No,Yes,No,Maybe,0-500,<2000,Skip,Unlikely,0,3,4,2
18-24,Male,Tier 2,Student,Occasionally,Beginner,Outdoor,Socializing,,1,Yonex,Rarely,Performance,Price,1-3 months,Offline store,Shoes,Strings,Casual player,Very important,Maybe,Yes,Yes,Maybe,0-500,<2000,Borrow,Likely,1,3,4,3
35-44,Female,Tier 1,Business Owner,1-2/week,Intermediate,Indoor courts,Fitness,Competition,3+,Li-Ning,Rarely,Brand,,<1 month,Offline store,Shuttlecocks,,Fitness-focused,Not important,Maybe,No,Maybe,No,0-500,<2000,Skip,Very likely,1,5,7,2
35-44,Male,Tier 2,Business Owner,1-2/week,Beginner,Outdoor,Fitness,Competition,1,Li-Ning,2-3 months,Price,Recommendation,3-6 months,Offline store,Shuttlecocks,Shoes,Casual player,Not important,No,No,Maybe,Maybe,0-500,2000-5000,Borrow,Neutral,0,4,5,2
18-24,Female,Tier 3,Student,3-5/week,Intermediate,Outdoor,Stress relief,,1,Yonex,Monthly,Price,,1-3 months,Offline store,Shuttlecocks,Shoes,Casual player,Somewhat important,Yes,No,Maybe,No,500-1500,10000+,Skip,Likely,1,6,8,4
35-44,Male,Tier 1,Business Owner,Occasionally,Intermediate,Outdoor,Fitness,,3+,Li-Ning,2-3 months,Price,Brand,1-3 months,Brand store,Strings,,Competitive player,Very important,Yes,No,Maybe,No,1500-3000,2000-5000,Buy immediately,Likely,1,4,6,7
Under 18,Male,Tier 1,Student,1-2/week,Beginner,Indoor courts,Fitness,Competition,2,Decathlon,Never,Price,Performance,3-6 months,Online,Shuttlecocks,,Casual player,Somewhat important,No,No,Yes,No,500-1500,<2000,Skip,Neutral,0,4,5,4
25-34,Male,Tier 1,Working Professional,Occasionally,Intermediate,Outdoor,Stress relief,,3+,Yonex,2-3 months,Performance,Brand,>6 months,Online,Grips,Strings,Fitness-focused,Very important,Maybe,Yes,No,Yes,1500-3000,5000-10000,Borrow,Very likely,1,4,6,7
18-24,Female,Tier 2,Working Professional,3-5/week,Advanced,Society/club,Socializing,Fitness,1,Decathlon,Rarely,Price,Performance,<1 month,Brand store,Shuttlecocks,,Fitness-focused,Not important,No,No,Yes,Maybe,3000+,2000-5000,Buy immediately,Very likely,1,7,10,8
Under 18,Male,Tier 2,Student,Daily,Advanced,Society/club,Competition,,3+,Yonex,Monthly,Brand,Performance,1-3 months,Offline store,Shuttlecocks,Shoes,Competitive player,Very important,Yes,No,Yes,No,1500-3000,2000-5000,Buy immediately,Likely,1,8,11,7
Under 18,Male,Tier 3,Student,3-5/week,Advanced,Society/club,Socializing,,3+,Yonex,Monthly,Brand,,<1 month,Offline store,Grips,,Competitive player,Very important,Yes,Yes,Maybe,Maybe,500-1500,10000+,Buy branded,Neutral,0,7,10,5
25-34,Male,Tier 3,Working Professional,3-5/week,Beginner,Society/club,Stress relief,Fitness,2,Decathlon,Never,Price,Performance,1-3 months,Offline store,Strings,,Fitness-focused,Not important,No,No,Yes,Maybe,1500-3000,2000-5000,Buy immediately,Very likely,1,5,6,6
18-24,Female,Tier 2,Student,1-2/week,Intermediate,Society/club,Socializing,Competition,2,Li-Ning,Rarely,Price,Brand,1-3 months,Brand store,Shuttlecocks,Grips,Fitness-focused,Very important,Yes,No,No,No,1500-3000,2000-5000,Buy branded,Neutral,0,5,7,7
25-34,Female,Tier 1,Business Owner,3-5/week,Intermediate,Indoor courts,Fitness,Socializing,1,Others,2-3 months,Price,Performance,1-3 months,Offline store,Apparel,Strings,Casual player,Somewhat important,Maybe,No,Maybe,Maybe,3000+,10000+,Buy immediately,Unlikely,0,6,8,8
Under 18,Male,Tier 3,Student,Occasionally,Beginner,Outdoor,Fitness,Competition,1,Decathlon,Never,Brand,,1-3 months,Offline store,Apparel,,Casual player,Somewhat important,Maybe,No,Yes,Yes,0-500,2000-5000,Borrow,Likely,1,3,4,2
18-24,Female,Tier 3,Student,3-5/week,Intermediate,Outdoor,Socializing,,2,Others,Rarely,Brand,Price,<1 month,Offline store,Shuttlecocks,Strings,Fitness-focused,Very important,Yes,No,Yes,Yes,3000+,10000+,Skip,Very likely,1,6,8,9
25-34,Male,Tier 2,Working Professional,Occasionally,Beginner,Society/club,Fitness,Socializing,1,Yonex,Rarely,Price,Brand,3-6 months,Online,Shuttlecocks,Strings,Casual player,Very important,Yes,Yes,No,No,1500-3000,2000-5000,Borrow,Likely,1,3,4,7
35-44,Male,Tier 2,Business Owner,1-2/week,Intermediate,Indoor courts,Stress relief,Competition,2,Li-Ning,Rarely,Recommendation,,>6 months,Brand store,Shoes,Shuttlecocks,Fitness-focused,Very important,Yes,Yes,Yes,Maybe,3000+,10000+,Buy branded,Very likely,1,5,7,9
18-24,Male,Tier 3,Student,Rarely,Beginner,Outdoor,Stress relief,Competition,1,Others,Rarely,Recommendation,Price,3-6 months,Offline store,Strings,Grips,Casual player,Not important,Yes,Yes,Maybe,Maybe,3000+,5000-10000,Skip,Unlikely,0,2,3,8
25-34,Male,Tier 2,Business Owner,Rarely,Beginner,Society/club,Socializing,Competition,1,Li-Ning,Rarely,Price,Performance,3-6 months,Offline store,Shuttlecocks,Shoes,Casual player,Somewhat important,Maybe,Yes,Yes,Maybe,3000+,5000-10000,Borrow,Likely,1,2,3,8
35-44,Female,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Fitness,,1,Yonex,2-3 months,Price,Brand,1-3 months,Online,Shuttlecocks,Grips,Casual player,Not important,Yes,No,Maybe,No,1500-3000,2000-5000,Buy immediately,Neutral,0,3,4,6
25-34,Female,Tier 2,Working Professional,Occasionally,Intermediate,Outdoor,Competition,Stress relief,1,Yonex,2-3 months,Brand,,3-6 months,Brand store,Grips,Apparel,Fitness-focused,Somewhat important,Yes,No,Maybe,Yes,500-1500,2000-5000,Buy branded,Neutral,0,4,6,4
18-24,Male,Tier 1,Working Professional,1-2/week,Beginner,Indoor courts,Fitness,Competition,1,Others,Rarely,Brand,Performance,1-3 months,Offline store,Shuttlecocks,Shoes,Fitness-focused,Not important,No,Yes,Maybe,Yes,0-500,2000-5000,Skip,Likely,1,4,5,2
Under 18,Male,Tier 1,Student,Occasionally,Beginner,Indoor courts,Fitness,,1,Decathlon,Rarely,Brand,Performance,3-6 months,Brand store,Grips,,Casual player,Somewhat important,Maybe,Yes,Yes,Maybe,3000+,5000-10000,Skip,Neutral,0,3,4,8
35-44,Female,Tier 2,Working Professional,Rarely,Beginner,Society/club,Fitness,,2,Decathlon,2-3 months,Performance,Price,>6 months,Online,Shuttlecocks,Strings,Fitness-focused,Somewhat important,No,No,Maybe,Yes,0-500,2000-5000,Skip,Neutral,0,2,3,2
Under 18,Female,Tier 1,Student,Daily,Competitive,Society/club,Fitness,,3+,Li-Ning,Monthly,Brand,Performance,1-3 months,Online,Grips,Shuttlecocks,Aspiring professional,Very important,Maybe,No,Yes,Yes,3000+,10000+,Borrow,Likely,1,9,13,9
35-44,Male,Tier 1,Business Owner,1-2/week,Intermediate,Indoor courts,Fitness,Stress relief,2,Decathlon,2-3 months,Recommendation,Brand,3-6 months,Online,Shoes,Grips,Casual player,Not important,Maybe,No,Yes,No,1500-3000,5000-10000,Skip,Likely,1,5,7,6
25-34,Female,Tier 1,Working Professional,3-5/week,Intermediate,Indoor courts,Fitness,Socializing,3+,Li-Ning,Monthly,Performance,,<1 month,Offline store,Shuttlecocks,Grips,Casual player,Somewhat important,No,Yes,Yes,No,3000+,10000+,Buy immediately,Neutral,0,6,8,8
45+,Male,Tier 2,Business Owner,1-2/week,Beginner,Outdoor,Fitness,Stress relief,1,Others,2-3 months,Performance,,1-3 months,Brand store,Shuttlecocks,Apparel,Casual player,Somewhat important,Maybe,No,Maybe,No,500-1500,<2000,Borrow,Unlikely,0,4,5,4
35-44,Male,Tier 3,Business Owner,1-2/week,Intermediate,Society/club,Competition,Fitness,3+,Li-Ning,Monthly,Performance,Brand,<1 month,Online,Shuttlecocks,Strings,Casual player,Somewhat important,Maybe,Yes,Yes,Yes,500-1500,2000-5000,Borrow,Likely,1,5,7,4
45+,Female,Tier 3,Others,1-2/week,Intermediate,Indoor courts,Competition,,3+,Decathlon,Monthly,Price,Performance,3-6 months,Offline store,Strings,Grips,Casual player,Somewhat important,Maybe,Yes,Yes,Yes,500-1500,2000-5000,Skip,Neutral,0,5,7,4
18-24,Male,Tier 1,Working Professional,1-2/week,Intermediate,Outdoor,Fitness,Stress relief,2,Yonex,2-3 months,Brand,Performance,3-6 months,Brand store,Grips,Shuttlecocks,Competitive player,Somewhat important,Maybe,Yes,Yes,Maybe,1500-3000,5000-10000,Borrow,Neutral,0,5,7,6
35-44,Male,Tier 2,Working Professional,Rarely,Beginner,Indoor courts,Competition,,1,Yonex,2-3 months,Brand,Performance,1-3 months,Brand store,Shuttlecocks,Grips,Fitness-focused,Somewhat important,Yes,No,Yes,No,0-500,<2000,Skip,Neutral,0,2,3,2
18-24,Male,Tier 3,Others,1-2/week,Intermediate,Outdoor,Competition,,2,Decathlon,Never,Price,Performance,<1 month,Offline store,Strings,,Fitness-focused,Somewhat important,No,Yes,Maybe,Yes,500-1500,2000-5000,Buy immediately,Very likely,1,5,7,4
18-24,Female,Tier 1,Student,Occasionally,Competitive,Indoor courts,Socializing,Competition,1,Yonex,Monthly,Recommendation,Brand,>6 months,Brand store,Strings,Shuttlecocks,Fitness-focused,Very important,Yes,No,Maybe,Maybe,0-500,<2000,Skip,Neutral,0,6,10,3
25-34,Female,Tier 2,Working Professional,1-2/week,Intermediate,Society/club,Socializing,,2,Yonex,Monthly,Price,Performance,1-3 months,Brand store,Strings,Apparel,Casual player,Somewhat important,Maybe,No,No,No,500-1500,2000-5000,Borrow,Neutral,0,5,7,4
35-44,Male,Tier 3,Working Professional,1-2/week,Beginner,Society/club,Competition,,1,Decathlon,Rarely,Performance,Brand,<1 month,Offline store,Grips,Shuttlecocks,Fitness-focused,Very important,Yes,Yes,Yes,No,0-500,<2000,Borrow,Unlikely,0,4,5,3
45+,Male,Tier 1,Working Professional,1-2/week,Beginner,Outdoor,Competition,,1,Decathlon,2-3 months,Performance,Recommendation,<1 month,Brand store,Grips,Shuttlecocks,Casual player,Somewhat important,Maybe,Yes,Yes,No,1500-3000,2000-5000,Borrow,Neutral,0,4,5,6
35-44,Male,Tier 3,Working Professional,3-5/week,Advanced,Society/club,Fitness,Stress relief,2,Yonex,Monthly,Performance,Recommendation,3-6 months,Offline store,Strings,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,3000+,10000+,Borrow,Very likely,1,7,10,8
18-24,Male,Tier 3,Student,1-2/week,Competitive,Outdoor,Competition,Fitness,1,Li-Ning,2-3 months,Brand,,<1 month,Offline store,Grips,Shoes,Competitive player,Very important,Yes,Yes,Yes,Yes,1500-3000,2000-5000,Skip,Very likely,1,7,11,7
